Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Giannis Antetokounmpo (18255100),Giannis Antetokounmpo,18255100,CPT,17100,ATL@MIL 07/01/2021 08:30PM ET,MIL,55.66
PG,Trae Young (18255101),Trae Young,18255101,CPT,16200,ATL@MIL 07/01/2021 08:30PM ET,ATL,46.88
SG/SF,Khris Middleton (18255102),Khris Middleton,18255102,CPT,15600,ATL@MIL 07/01/2021 08:30PM ET,MIL,39.31
PG/SG,Jrue Holiday (18255103),Jrue Holiday,18255103,CPT,14400,ATL@MIL 07/01/2021 08:30PM ET,MIL,37.39
SG/SF,Kevin Huerter (18255104),Kevin Huerter,18255104,CPT,12600,ATL@MIL 07/01/2021 08:30PM ET,ATL,24.55
PF/C,John Collins (18255105),John Collins,18255105,CPT,12000,ATL@MIL 07/01/2021 08:30PM ET,ATL,31.34
PF/C,Giannis Antetokounmpo (18255066),Giannis Antetokounmpo,18255066,UTIL,11400,ATL@MIL 07/01/2021 08:30PM ET,MIL,55.66
PG,Trae Young (18255067),Trae Young,18255067,UTIL,10800,ATL@MIL 07/01/2021 08:30PM ET,ATL,46.88
PG/SG,Bogdan Bogdanovic (18255106),Bogdan Bogdanovic,18255106,CPT,10800,ATL@MIL 07/01/2021 08:30PM ET,ATL,28.95
SG/SF,Khris Middleton (18255068),Khris Middleton,18255068,UTIL,10400,ATL@MIL 07/01/2021 08:30PM ET,MIL,39.31
C,Clint Capela (18255107),Clint Capela,18255107,CPT,10200,ATL@MIL 07/01/2021 08:30PM ET,ATL,38.14
PG/SG,Jrue Holiday (18255069),Jrue Holiday,18255069,UTIL,9600,ATL@MIL 07/01/2021 08:30PM ET,MIL,37.39
C,Brook Lopez (18255108),Brook Lopez,18255108,CPT,9000,ATL@MIL 07/01/2021 08:30PM ET,MIL,24.06
SG/SF,Kevin Huerter (18255070),Kevin Huerter,18255070,UTIL,8400,ATL@MIL 07/01/2021 08:30PM ET,ATL,24.55
PF/C,John Collins (18255071),John Collins,18255071,UTIL,8000,ATL@MIL 07/01/2021 08:30PM ET,ATL,31.34
