,CAPTAIN,UTIL1,UTIL2,UTIL3,UTIL4,UTIL5,PRJ,PRJ*MIN,COST
0,Chris Paul,Khris Middleton,Jrue Holiday,Deandre Ayton,P.J. Tucker,Cameron Johnson,236.54687500000003,8.112884604687501,49900.0
1,Jrue Holiday,Khris Middleton,Chris Paul,Deandre Ayton,Cameron Payne,Cameron Johnson,235.44375000000002,8.049021436458334,49800.0
2,Jrue Holiday,Khris Middleton,Chris Paul,Deandre Ayton,P.J. Tucker,Cameron Johnson,234.64375,8.300965419791668,49600.0
3,Jrue Holiday,Khris Middleton,Chris Paul,Devin Booker,P.J. Tucker,Dario Saric,233.91875000000005,8.457827536458336,50000.0
4,Khris Middleton,Chris Paul,Devin Booker,Jrue Holiday,Cameron Johnson,Dario Saric,233.33125,8.269662303125001,49000.0
5,Khris Middleton,Chris Paul,Devin Booker,Jrue Holiday,Cameron Payne,E'Twaun Moore,233.10625000000002,8.239759353125,49800.0
6,Khris Middleton,Chris Paul,Jrue Holiday,Deandre Ayton,Cameron Payne,Dario Saric,233.03125000000003,8.006698544791668,49600.0
7,Jrue Holiday,Khris Middleton,Chris Paul,Deandre Ayton,Jae Crowder,Dario Saric,232.84375000000003,8.204162023958334,50000.0
8,Chris Paul,Khris Middleton,Devin Booker,Jrue Holiday,Cameron Johnson,Dario Saric,232.82187500000003,7.950523596354168,48700.0
9,Khris Middleton,Chris Paul,Jrue Holiday,Deandre Ayton,Mikal Bridges,E'Twaun Moore,232.65625,8.276748619791668,50000.0
10,Chris Paul,Khris Middleton,Devin Booker,Jrue Holiday,Cameron Payne,E'Twaun Moore,232.59687500000004,7.920620646354168,49500.0
11,Chris Paul,Khris Middleton,Jrue Holiday,Deandre Ayton,Cameron Payne,Dario Saric,232.52187500000005,7.687559838020835,49300.0
12,Khris Middleton,Chris Paul,Devin Booker,Jrue Holiday,P.J. Tucker,E'Twaun Moore,232.30625,8.491703336458334,49600.0
13,Deandre Ayton,Khris Middleton,Chris Paul,Jrue Holiday,Cameron Payne,Cameron Johnson,232.25625000000002,7.842161194791667,49400.0
14,Khris Middleton,Chris Paul,Jrue Holiday,Deandre Ayton,P.J. Tucker,Dario Saric,232.23125000000002,8.258642528125002,49400.0
15,Jrue Holiday,Khris Middleton,Chris Paul,Deandre Ayton,Pat Connaughton,Cameron Johnson,232.19375000000002,8.095369819791667,50000.0
16,Chris Paul,Khris Middleton,Jrue Holiday,Deandre Ayton,Mikal Bridges,E'Twaun Moore,232.14687500000002,7.957609913020834,49700.0
17,Chris Paul,Khris Middleton,Devin Booker,Jrue Holiday,P.J. Tucker,E'Twaun Moore,231.79687500000003,8.172564629687502,49300.0
18,Chris Paul,Khris Middleton,Jrue Holiday,Deandre Ayton,P.J. Tucker,Dario Saric,231.72187500000004,7.939503821354168,49100.0
19,Khris Middleton,Chris Paul,Devin Booker,Jrue Holiday,Cameron Payne,Frank Kaminsky,231.70625,8.219742436458334,49800.0
20,Deandre Ayton,Khris Middleton,Chris Paul,Jrue Holiday,P.J. Tucker,Cameron Johnson,231.45625,8.094105178125,49200.0
21,Khris Middleton,Chris Paul,Jrue Holiday,Deandre Ayton,Mikal Bridges,Frank Kaminsky,231.25625,8.256731703125002,50000.0
22,Khris Middleton,Chris Paul,Jrue Holiday,Deandre Ayton,Jae Crowder,E'Twaun Moore,231.23125000000002,8.238037823958335,49600.0
23,Chris Paul,Khris Middleton,Devin Booker,Jrue Holiday,Cameron Payne,Frank Kaminsky,231.19687500000003,7.900603729687502,49500.0
24,Deandre Ayton,Khris Middleton,Chris Paul,Jrue Holiday,Mikal Bridges,Dario Saric,231.08125,8.036012578125,50000.0
25,Khris Middleton,Devin Booker,Jrue Holiday,Deandre Ayton,P.J. Tucker,Cameron Johnson,230.975,8.724707358333333,50000.0
26,Jrue Holiday,Khris Middleton,Chris Paul,Devin Booker,Cameron Johnson,Dario Saric,230.91875000000005,8.138604411458335,48400.0
27,Khris Middleton,Chris Paul,Devin Booker,Jrue Holiday,P.J. Tucker,Frank Kaminsky,230.90625,8.471686419791668,49600.0
28,Khris Middleton,Chris Paul,Devin Booker,Deandre Ayton,Cameron Payne,Dario Saric,230.75625000000002,7.923220961458335,50000.0
29,Chris Paul,Khris Middleton,Jrue Holiday,Deandre Ayton,Mikal Bridges,Frank Kaminsky,230.74687500000002,7.937592996354168,49700.0
30,Chris Paul,Khris Middleton,Jrue Holiday,Deandre Ayton,Jae Crowder,E'Twaun Moore,230.72187500000004,7.918899117187501,49300.0
31,Jrue Holiday,Khris Middleton,Chris Paul,Devin Booker,Cameron Payne,E'Twaun Moore,230.69375000000005,8.108701461458335,49200.0
32,Jrue Holiday,Khris Middleton,Chris Paul,Deandre Ayton,Cameron Payne,Dario Saric,230.61875000000003,7.875640653125002,49000.0
33,Jrue Holiday,Chris Paul,Devin Booker,Deandre Ayton,Jae Crowder,Cameron Johnson,230.56875000000002,8.031949440625,50000.0
34,Chris Paul,Khris Middleton,Devin Booker,Jrue Holiday,P.J. Tucker,Frank Kaminsky,230.39687500000002,8.152547713020835,49300.0
35,Chris Paul,Khris Middleton,Devin Booker,Deandre Ayton,Cameron Payne,Dario Saric,230.24687500000002,7.604082254687501,49700.0
36,Chris Paul,Devin Booker,Jrue Holiday,Deandre Ayton,Cameron Payne,Cameron Johnson,230.24687500000002,7.5153472546875015,49300.0
37,Jrue Holiday,Khris Middleton,Chris Paul,Deandre Ayton,Mikal Bridges,E'Twaun Moore,230.24375,8.145690728125,49400.0
38,E'Twaun Moore,Khris Middleton,Chris Paul,Devin Booker,Jrue Holiday,Deandre Ayton,230.20625000000004,8.225085628125,48900.0
39,Deandre Ayton,Khris Middleton,Chris Paul,Devin Booker,Cameron Payne,Cameron Johnson,229.98125000000005,7.758683611458333,49800.0
40,Khris Middleton,Chris Paul,Devin Booker,Deandre Ayton,P.J. Tucker,Dario Saric,229.95625,8.175164944791668,49800.0
41,Jrue Holiday,Khris Middleton,Chris Paul,Devin Booker,P.J. Tucker,E'Twaun Moore,229.89375000000004,8.360645444791668,49000.0
42,Khris Middleton,Chris Paul,Devin Booker,Jrue Holiday,Pat Connaughton,E'Twaun Moore,229.85625000000002,8.286107736458334,50000.0
