,CAPTAIN,UTIL1,UTIL2,UTIL3,UTIL4,UTIL5,WINS,RECORD,WIN PCT,COST
0,Khris Middleton,Devin Booker,Jrue Holiday,Deandre Ayton,P.J. Tucker,Cameron Johnson,311987,311987-186013-0,0.6264799196787149,50000.0
1,Jrue Holiday,Khris Middleton,Devin Booker,Deandre Ayton,Cameron Payne,Cameron Johnson,306800,306800-191200-0,0.6160642570281124,49600.0
2,Jrue Holiday,Khris Middleton,Devin Booker,Deandre Ayton,P.J. Tucker,Cameron Johnson,304750,304750-193250-0,0.6119477911646586,49400.0
3,Devin Booker,Khris Middleton,Jrue Holiday,Deandre Ayton,Cameron Payne,Cameron Johnson,293581,293581-204419-0,0.5895200803212851,49800.0
4,Jrue Holiday,Khris Middleton,Chris Paul,Deandre Ayton,Cameron Payne,Cameron Johnson,287494,287494-210506-0,0.5772971887550201,49800.0
5,Khris Middleton,Devin Booker,Jrue Holiday,Deandre Ayton,Cameron Payne,Dario Saric,287338,287338-210662-0,0.5769839357429719,49400.0
6,Devin Booker,Khris Middleton,Jrue Holiday,Deandre Ayton,P.J. Tucker,Cameron Johnson,285336,285336-212664-0,0.5729638554216867,49600.0
7,Deandre Ayton,Khris Middleton,Devin Booker,Jrue Holiday,Cameron Payne,Cameron Johnson,283590,283590-214410-0,0.5694578313253013,49200.0
8,Jrue Holiday,Khris Middleton,Chris Paul,Deandre Ayton,P.J. Tucker,Cameron Johnson,283233,283233-214767-0,0.5687409638554217,49600.0
9,Jrue Holiday,Khris Middleton,Devin Booker,Deandre Ayton,Jae Crowder,Dario Saric,282326,282326-215674-0,0.5669196787148595,49800.0
10,Devin Booker,Khris Middleton,Jrue Holiday,Deandre Ayton,Pat Connaughton,Cameron Johnson,282302,282302-215698-0,0.5668714859437751,50000.0
11,Devin Booker,Khris Middleton,Jrue Holiday,Deandre Ayton,Jae Crowder,Dario Saric,282044,282044-215956-0,0.5663534136546184,50000.0
12,Khris Middleton,Devin Booker,Jrue Holiday,Deandre Ayton,P.J. Tucker,Dario Saric,281195,281195-216805-0,0.56464859437751,49200.0
13,Jrue Holiday,Khris Middleton,Devin Booker,Deandre Ayton,Pat Connaughton,Cameron Johnson,280818,280818-217182-0,0.5638915662650602,49800.0
14,Jrue Holiday,Khris Middleton,Devin Booker,Deandre Ayton,Cameron Payne,Dario Saric,277117,277117-220883-0,0.5564598393574297,48800.0
15,Deandre Ayton,Khris Middleton,Devin Booker,Jrue Holiday,Mikal Bridges,Dario Saric,276298,276298-221702-0,0.5548152610441767,49800.0
16,Jrue Holiday,Khris Middleton,Chris Paul,Deandre Ayton,Jae Crowder,Dario Saric,275351,275351-222649-0,0.5529136546184739,50000.0
17,Deandre Ayton,Khris Middleton,Devin Booker,Jrue Holiday,P.J. Tucker,Cameron Johnson,275160,275160-222840-0,0.5525301204819277,49000.0
18,Jrue Holiday,Khris Middleton,Chris Paul,Devin Booker,P.J. Tucker,Dario Saric,272262,272262-225738-0,0.546710843373494,50000.0
19,Khris Middleton,Devin Booker,Jrue Holiday,Deandre Ayton,Pat Connaughton,Dario Saric,272007,272007-225993-0,0.5461987951807229,49600.0
20,Jrue Holiday,Khris Middleton,Devin Booker,Deandre Ayton,P.J. Tucker,Dario Saric,271941,271941-226059-0,0.5460662650602409,48600.0
21,Khris Middleton,Chris Paul,Jrue Holiday,Deandre Ayton,Cameron Payne,Dario Saric,271897,271897-226103-0,0.5459779116465864,49600.0
22,Khris Middleton,Chris Paul,Devin Booker,Jrue Holiday,Cameron Johnson,Dario Saric,271186,271186-226814-0,0.5445502008032128,49000.0
23,Khris Middleton,Devin Booker,Jrue Holiday,Deandre Ayton,Torrey Craig,Cameron Johnson,269965,269965-228035-0,0.5420983935742972,49400.0
24,Khris Middleton,Devin Booker,Jrue Holiday,Deandre Ayton,Cameron Payne,Bryn Forbes,269828,269828-228172-0,0.5418232931726907,49800.0
25,Chris Paul,Khris Middleton,Jrue Holiday,Deandre Ayton,P.J. Tucker,Cameron Johnson,269253,269253-228747-0,0.5406686746987952,49900.0
26,Khris Middleton,Chris Paul,Jrue Holiday,Deandre Ayton,P.J. Tucker,Dario Saric,268759,268759-229241-0,0.5396767068273093,49400.0
27,Deandre Ayton,Khris Middleton,Devin Booker,Jrue Holiday,Jae Crowder,Dario Saric,268246,268246-229754-0,0.5386465863453815,49400.0
28,Jrue Holiday,Khris Middleton,Chris Paul,Deandre Ayton,Pat Connaughton,Cameron Johnson,268005,268005-229995-0,0.5381626506024096,50000.0
29,Jrue Holiday,Khris Middleton,Devin Booker,Brook Lopez,Mikal Bridges,Cameron Johnson,267640,267640-230360-0,0.5374297188755021,50000.0
30,Khris Middleton,Devin Booker,Jrue Holiday,Deandre Ayton,Mikal Bridges,Thanasis Antetokounmpo,266830,266830-231170-0,0.5358032128514056,49800.0
31,Devin Booker,Khris Middleton,Jrue Holiday,Deandre Ayton,Cameron Payne,Dario Saric,265897,265897-232103-0,0.533929718875502,49000.0
32,Khris Middleton,Devin Booker,Jrue Holiday,Deandre Ayton,Mikal Bridges,E'Twaun Moore,265688,265688-232312-0,0.5335100401606425,49800.0
33,Deandre Ayton,Khris Middleton,Chris Paul,Jrue Holiday,Cameron Payne,Cameron Johnson,264951,264951-233049-0,0.5320301204819277,49400.0
34,Devin Booker,Khris Middleton,Jrue Holiday,Deandre Ayton,P.J. Tucker,Dario Saric,264754,264754-233246-0,0.5316345381526104,48800.0
35,Khris Middleton,Chris Paul,Devin Booker,Jrue Holiday,Cameron Payne,E'Twaun Moore,263496,263496-234504-0,0.5291084337349398,49800.0
36,Mikal Bridges,Khris Middleton,Devin Booker,Jrue Holiday,Deandre Ayton,Cameron Johnson,263400,263400-234600-0,0.5289156626506024,49400.0
37,Deandre Ayton,Khris Middleton,Chris Paul,Jrue Holiday,P.J. Tucker,Cameron Johnson,262850,262850-235150-0,0.5278112449799197,49200.0
38,P.J. Tucker,Khris Middleton,Devin Booker,Jrue Holiday,Deandre Ayton,Jae Crowder,262802,262802-235198-0,0.527714859437751,49800.0
39,Jrue Holiday,Khris Middleton,Devin Booker,Brook Lopez,Jae Crowder,Cameron Johnson,262721,262721-235279-0,0.5275522088353414,49600.0
40,Khris Middleton,Devin Booker,Jrue Holiday,Mikal Bridges,Cameron Payne,P.J. Tucker,261215,261215-236785-0,0.5245281124497992,49400.0
41,Khris Middleton,Devin Booker,Jrue Holiday,Deandre Ayton,Jae Crowder,E'Twaun Moore,261188,261188-236812-0,0.5244738955823293,49400.0
42,Khris Middleton,Devin Booker,Jrue Holiday,Deandre Ayton,P.J. Tucker,Bryn Forbes,260145,260145-237855-0,0.5223795180722891,49600.0
43,Deandre Ayton,Khris Middleton,Devin Booker,Jrue Holiday,Pat Connaughton,Cameron Johnson,260056,260056-237944-0,0.5222008032128514,49400.0
44,Jrue Holiday,Khris Middleton,Devin Booker,Mikal Bridges,Jae Crowder,Cameron Payne,259889,259889-238111-0,0.5218654618473896,50000.0
45,Deandre Ayton,Khris Middleton,Chris Paul,Jrue Holiday,Mikal Bridges,Dario Saric,259699,259699-238301-0,0.5214839357429719,50000.0
46,Cameron Johnson,Khris Middleton,Devin Booker,Jrue Holiday,Deandre Ayton,Brook Lopez,258741,258741-239259-0,0.5195602409638554,49200.0
47,Jrue Holiday,Khris Middleton,Devin Booker,Mikal Bridges,Jae Crowder,P.J. Tucker,258668,258668-239332-0,0.5194136546184739,49800.0
48,Khris Middleton,Chris Paul,Devin Booker,Jrue Holiday,Cameron Payne,Thanasis Antetokounmpo,258482,258482-239518-0,0.5190401606425703,49800.0
49,Khris Middleton,Devin Booker,Jrue Holiday,Deandre Ayton,Jae Crowder,Jeff Teague,258295,258295-239705-0,0.5186646586345381,50000.0
50,Jrue Holiday,Khris Middleton,Chris Paul,Devin Booker,Cameron Johnson,Dario Saric,258201,258201-239799-0,0.5184759036144578,48400.0
51,Khris Middleton,Chris Paul,Devin Booker,Deandre Ayton,Cameron Payne,Dario Saric,257881,257881-240119-0,0.5178333333333334,50000.0
52,Khris Middleton,Devin Booker,Jrue Holiday,Jae Crowder,Cameron Payne,P.J. Tucker,257604,257604-240396-0,0.517277108433735,49000.0
53,Cameron Johnson,Khris Middleton,Chris Paul,Devin Booker,Jrue Holiday,Mikal Bridges,257582,257582-240418-0,0.5172329317269077,49200.0
54,Jrue Holiday,Khris Middleton,Devin Booker,Deandre Ayton,Pat Connaughton,Dario Saric,257143,257143-240857-0,0.5163514056224899,49000.0
55,Khris Middleton,Devin Booker,Jrue Holiday,Brook Lopez,Cameron Payne,Cameron Johnson,257122,257122-240878-0,0.5163092369477912,49200.0
56,Jrue Holiday,Chris Paul,Devin Booker,Deandre Ayton,Jae Crowder,Cameron Johnson,256912,256912-241088-0,0.5158875502008032,50000.0
57,Khris Middleton,Chris Paul,Jrue Holiday,Deandre Ayton,Torrey Craig,Cameron Johnson,256812,256812-241188-0,0.5156867469879518,49600.0
