,PLAYER_NAME,POS,FG3M,REB,AST,TOV,STL,BLK,PTS,DD,TD,SALARY,PRJ,MINUTES,PRJ*MIN
0,Khris Middleton,SG/SF,2.7,7.9,5.0,3.2,1.9,0.30000000000000004,24.1,False,False,10400,45.625,40.602833333333336,1.8525042708333335
1,Jrue Holiday,PG/SG,2.0,4.4,7.6000000000000005,2.0,1.1,0.4,16.900000000000002,False,False,9600,36.800000000000004,39.581,1.4565808000000002
2,John Collins,PF/C,0.7000000000000001,10.4,0.7,1.5000000000000002,0.3,0.7,13.600000000000001,True,False,8000,30.750000000000004,33.29383333333333,1.023785375
3,Clint Capela,C,0.0,10.700000000000001,1.1,1.0,0.8,0.4,10.0,True,False,6800,28.425,31.67983333333333,0.9004992625
4,Kevin Huerter,SG/SF,1.7000000000000002,4.0,2.9000000000000004,0.9,0.5,0.8,12.399999999999999,False,False,8400,24.750000000000004,34.502,0.8539245000000002
5,Brook Lopez,C,1.5999999999999999,5.800000000000001,0.4,0.8,1.0,1.8000000000000003,10.100000000000001,False,False,6000,23.950000000000006,30.250000000000004,0.7244875000000003
6,Bogdan Bogdanovic,PG/SG,1.9000000000000001,3.1,2.1,1.7000000000000002,1.8000000000000003,0.2,11.2,False,False,7200,22.324999999999996,30.877666666666666,0.6893439083333331
7,Cam Reddish,SG/SF,1.5,3.5,1.0,1.0,1.5,0.5,11.5,False,False,3200,21.625,4.038,0.08732175
8,Danilo Gallinari,PF,2.0,4.1000000000000005,0.6000000000000001,0.9000000000000001,0.30000000000000004,0.0,14.3,False,False,4800,21.475,25.867333333333335,0.5555009833333333
9,Bobby Portis,PF/C,0.5714285714285714,4.428571428571429,0.7142857142857143,0.7142857142857142,0.5714285714285714,0.5714285714285714,6.7142857142857135,False,False,4400,15.535714285714283,11.017666666666667,0.1711673214285714
10,P.J. Tucker,SF/PF,1.0,4.8999999999999995,1.1,0.2,1.1,0.30000000000000004,4.500000000000001,False,False,4000,15.475000000000001,31.229333333333336,0.48327393333333346
11,Lou Williams,PG/SG,0.7,1.9000000000000001,2.3,0.9000000000000001,0.8,0.1,7.800000000000001,False,False,5200,15.325,16.490333333333336,0.2527143583333334
12,Pat Connaughton,SG/SF,1.0,3.8000000000000007,0.8,0.5,0.5,0.5,5.0,False,False,3600,13.2,22.586000000000002,0.2981352
13,Kris Dunn,PG/SF,0.0,1.5,2.0,1.0,0.5,1.0,3.0,False,False,1400,10.375,2.1833333333333336,0.022652083333333337
14,Bryn Forbes,PG/SG,1.1,1.1,0.30000000000000004,0.4,0.0,0.2,4.9,False,False,2600,7.4750000000000005,12.598333333333334,0.09417254166666669
15,Axel Toupane,SF,1.0,0.0,0.0,0.0,0.0,0.0,3.0,False,False,1000,3.5,0.17666666666666667,0.0006183333333333333
16,Solomon Hill,SF/PF,0.0,1.5,0.25,0.125,0.125,0.0,1.0,False,False,1000,3.4375,10.076333333333334,0.034637395833333334
17,Justin Jackson,PF,0.0,0.5,0.25,0.25,0.25,0.0,1.5,False,False,1000,2.875,1.3633333333333335,0.003919583333333334
18,Thanasis Antetokounmpo,PF,0.0,0.5555555555555556,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.8888888888888888,False,False,1000,2.694444444444444,3.547166666666667,0.00955764351851852
19,Jeff Teague,PG,0.0,0.2,0.6,0.2,0.0,0.0,1.4000000000000001,False,False,1000,2.4499999999999997,2.3643333333333336,0.005792616666666667
20,Bruno Fernando,C,0.0,0.25,0.0,0.0,0.0,0.0,1.5,False,False,1000,1.8125,1.0153333333333334,0.001840291666666667
21,Tony Snell,SG/SF,0.0,0.16666666666666666,0.16666666666666666,0.5,0.16666666666666666,0.0,0.3333333333333333,False,False,1000,0.875,3.6511666666666667,0.0031947708333333333
