Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Giannis Antetokounmpo (18234400),Giannis Antetokounmpo,18234400,CPT,18000,MIL@ATL 06/29/2021 08:30PM ET,MIL,56.00
PG,Trae Young (18234401),Trae Young,18234401,CPT,16200,MIL@ATL 06/29/2021 08:30PM ET,ATL,46.88
SG/SF,Khris Middleton (18234402),Khris Middleton,18234402,CPT,15000,MIL@ATL 06/29/2021 08:30PM ET,MIL,39.36
PG/SG,Jrue Holiday (18234403),Jrue Holiday,18234403,CPT,14100,MIL@ATL 06/29/2021 08:30PM ET,MIL,37.39
PF/C,John Collins (18234404),John Collins,18234404,CPT,13200,MIL@ATL 06/29/2021 08:30PM ET,ATL,31.51
PF/C,Giannis Antetokounmpo (18234366),Giannis Antetokounmpo,18234366,UTIL,12000,MIL@ATL 06/29/2021 08:30PM ET,MIL,56.00
C,Clint Capela (18234405),Clint Capela,18234405,CPT,12000,MIL@ATL 06/29/2021 08:30PM ET,ATL,38.29
C,Brook Lopez (18234406),Brook Lopez,18234406,CPT,11100,MIL@ATL 06/29/2021 08:30PM ET,MIL,24.15
PG,Trae Young (18234367),Trae Young,18234367,UTIL,10800,MIL@ATL 06/29/2021 08:30PM ET,ATL,46.88
SG/SF,Kevin Huerter (18234407),Kevin Huerter,18234407,CPT,10500,MIL@ATL 06/29/2021 08:30PM ET,ATL,24.42
SG/SF,Khris Middleton (18234368),Khris Middleton,18234368,UTIL,10000,MIL@ATL 06/29/2021 08:30PM ET,MIL,39.36
PG/SG,Bogdan Bogdanovic (18234408),Bogdan Bogdanovic,18234408,CPT,9600,MIL@ATL 06/29/2021 08:30PM ET,ATL,28.74
PG/SG,Jrue Holiday (18234369),Jrue Holiday,18234369,UTIL,9400,MIL@ATL 06/29/2021 08:30PM ET,MIL,37.39
PF/C,John Collins (18234370),John Collins,18234370,UTIL,8800,MIL@ATL 06/29/2021 08:30PM ET,ATL,31.51
PF,Danilo Gallinari (18234409),Danilo Gallinari,18234409,CPT,8700,MIL@ATL 06/29/2021 08:30PM ET,ATL,22.30
C,Clint Capela (18234371),Clint Capela,18234371,UTIL,8000,MIL@ATL 06/29/2021 08:30PM ET,ATL,38.29
C,Brook Lopez (18234372),Brook Lopez,18234372,UTIL,7400,MIL@ATL 06/29/2021 08:30PM ET,MIL,24.15
SG/SF,Cam Reddish (18234410),Cam Reddish,18234410,CPT,7200,MIL@ATL 06/29/2021 08:30PM ET,ATL,21.26
SG/SF,Kevin Huerter (18234373),Kevin Huerter,18234373,UTIL,7000,MIL@ATL 06/29/2021 08:30PM ET,ATL,24.42
PF/C,Bobby Portis (18234411),Bobby Portis,18234411,CPT,6600,MIL@ATL 06/29/2021 08:30PM ET,MIL,23.56
PG/SG,Bogdan Bogdanovic (18234374),Bogdan Bogdanovic,18234374,UTIL,6400,MIL@ATL 06/29/2021 08:30PM ET,ATL,28.74
PF,Danilo Gallinari (18234375),Danilo Gallinari,18234375,UTIL,5800,MIL@ATL 06/29/2021 08:30PM ET,ATL,22.30
SF/PF,P.J. Tucker (18234412),P.J. Tucker,18234412,CPT,5400,MIL@ATL 06/29/2021 08:30PM ET,MIL,12.98
SG/SF,Cam Reddish (18234376),Cam Reddish,18234376,UTIL,4800,MIL@ATL 06/29/2021 08:30PM ET,ATL,21.26
SG/SF,Pat Connaughton (18234413),Pat Connaughton,18234413,CPT,4800,MIL@ATL 06/29/2021 08:30PM ET,MIL,16.54
PF/C,Bobby Portis (18234377),Bobby Portis,18234377,UTIL,4400,MIL@ATL 06/29/2021 08:30PM ET,MIL,23.56
PG/SG,Lou Williams (18234414),Lou Williams,18234414,CPT,4200,MIL@ATL 06/29/2021 08:30PM ET,ATL,18.83
SF/PF,P.J. Tucker (18234378),P.J. Tucker,18234378,UTIL,3600,MIL@ATL 06/29/2021 08:30PM ET,MIL,12.98
SG/SF,Pat Connaughton (18234379),Pat Connaughton,18234379,UTIL,3200,MIL@ATL 06/29/2021 08:30PM ET,MIL,16.54
PG/SG,Bryn Forbes (18234415),Bryn Forbes,18234415,CPT,3000,MIL@ATL 06/29/2021 08:30PM ET,MIL,13.96
PG/SG,Lou Williams (18234380),Lou Williams,18234380,UTIL,2800,MIL@ATL 06/29/2021 08:30PM ET,ATL,18.83
